NPI,provider_state,last_updated,entity_type,provider_gender,provider_age,pair_number,HealthcareProviderTaxonomyCode,HealthcareProviderPrimaryTaxonomySwitch
1821208554,ID,2013-02-05,individual,female,47,1,207P00000X,Y
1114138450,HI,2009-09-01,individual,female,54,1,207V00000X,Y
1659573889,ID,2011-01-25,individual,male,55,1,207P00000X,Y
1821291998,HI,2014-07-16,individual,male,52,1,207P00000X,Y
1841493665,ID,2015-09-25,individual,male,48,1,207P00000X,Y
1760685358,HI,2016-05-19,individual,male,53,1,207P00000X,Y
1821292327,HI,2016-03-04,individual,male,56,1,207P00000X,Y
1477757565,HI,2015-04-16,individual,female,53,1,207V00000X,Y
1063616860,HI,2010-07-22,individual,female,50,1,207V00000X,Y
1831394279,HI,2010-09-01,individual,female,44,1,207V00000X,Y
1447455217,ID,2016-12-13,individual,female,48,1,207P00000X,Y
1154527547,ID,2015-09-25,individual,male,57,1,207P00000X,Y
1043416456,HI,2016-08-18,individual,female,53,1,207V00000X,Y
1790981025,ID,2011-01-25,individual,male,53,1,207P00000X,Y
1982800058,HI,2010-05-06,individual,female,47,1,207V00000X,Y
1144426909,HI,2014-10-14,individual,female,51,1,207V00000X,Y
1811193816,HI,2014-08-11,individual,male,49,1,207P00000X,Y
1588860324,HI,2010-09-17,individual,female,50,1,207V00000X,Y
1922204700,HI,2011-09-20,individual,female,50,1,207V00000X,Y
1083811525,HI,2013-11-26,individual,female,51,1,207V00000X,Y
1528265147,HI,2015-11-03,individual,female,51,1,207V00000X,Y
1710185111,ID,2014-08-07,individual,female,46,1,207V00000X,Y
1932307287,HI,2009-10-30,individual,male,53,1,207V00000X,Y
1831397835,ID,2015-09-25,individual,male,53,1,207P00000X,Y
1841499373,HI,2013-09-06,individual,female,49,1,207P00000X,Y
1457551038,HI,2015-11-12,individual,female,53,1,207P00000X,Y
1346440955,HI,2014-05-20,individual,male,59,1,207P00000X,Y
1679773212,HI,2013-08-22,individual,female,50,1,207V00000X,Y
1487854055,ID,2016-02-16,individual,female,45,1,207V00000X,Y
1821298001,ID,2011-01-25,individual,male,48,1,207P00000X,Y
1548452915,HI,2013-05-03,individual,male,57,1,207V00000X,Y
1437341559,HI,2013-07-16,individual,female,55,1,207V00000X,Y
1992997431,HI,2009-10-20,individual,female,52,1,207P00000X,Y
1003009804,HI,2013-03-27,individual,female,57,1,207P00000X,Y
1437342060,HI,2016-01-22,individual,male,57,1,207P00000X,Y
1053505545,HI,2012-05-10,individual,male,59,1,207P00000X,Y
1265627319,ID,2011-07-27,individual,female,42,1,207V00000X,Y
1295924140,HI,2012-04-03,individual,female,49,2,207P00000X,Y
1962681262,HI,2015-11-20,individual,female,56,1,207P00000X,Y
1982887006,HI,2013-06-24,individual,female,50,1,207V00000X,Y
1164606646,HI,2012-01-12,individual,male,55,1,207P00000X,Y
1477738144,HI,2013-09-23,individual,female,57,1,207P00000X,Y
1023294212,HI,2010-11-16,individual,male,68,1,207P00000X,Y
1639356645,HI,2013-10-30,individual,male,55,1,207V00000X,Y
1689851438,HI,2009-02-11,individual,female,51,2,207P00000X,Y
1396914917,ID,2016-05-16,individual,male,47,1,207V00000X,Y
1700057007,HI,2010-11-16,individual,male,58,1,207P00000X,Y
1639340417,HI,2012-02-22,individual,female,55,1,207P00000X,Y
1023280559,HI,2008-03-25,individual,male,51,1,207P00000X,Y
1558533281,HI,2014-05-23,individual,male,54,1,207P00000X,Y
1982877213,HI,2011-08-06,individual,female,53,1,207P00000X,Y
1992979397,HI,2012-09-11,individual,female,56,1,207V00000X,Y
1356515605,HI,2008-04-17,individual,male,61,1,207P00000X,Y
1235304676,HI,2013-01-14,individual,male,62,1,207P00000X,Y
1033384201,ID,2011-01-25,individual,male,37,1,207P00000X,Y
1154597532,HI,2011-05-18,individual,female,55,1,207P00000X,Y
1932376936,ID,2012-06-28,individual,female,44,1,207P00000X,Y
1730356460,HI,2008-05-12,individual,male,57,1,207P00000X,Y
1982861217,HI,2008-05-22,individual,male,62,1,207P00000X,Y
1073770400,ID,2016-10-13,individual,male,44,1,207P00000X,Y
1396903365,ID,2011-08-29,individual,male,52,1,207P00000X,Y
1558529453,HI,2017-01-06,individual,female,53,1,207P00000X,Y
1790943132,ID,2016-02-16,individual,male,40,1,207V00000X,Y
1902065204,ID,2012-10-30,individual,male,58,1,207P00000X,Y
1851550123,HI,2012-07-16,individual,female,39,1,207P00000X,Y
1639339880,HI,2012-10-14,individual,female,50,1,207P00000X,Y
1225298250,HI,2008-06-12,individual,female,50,1,207P00000X,Y
1932369725,HI,2016-01-21,individual,female,51,1,207P00000X,Y
1134380694,ID,2008-06-18,individual,male,40,1,207P00000X,Y
1871754853,HI,2011-07-28,individual,female,52,1,207P00000X,Y
1992967053,ID,2011-07-19,individual,male,51,1,207P00000X,Y
1417119363,HI,2013-10-28,individual,male,61,1,207P00000X,Y
1013179811,ID,2016-04-18,individual,male,44,1,207P00000X,Y
1184887036,ID,2016-03-01,individual,female,39,1,207V00000X,Y
1174787097,ID,2014-09-05,individual,male,49,1,207V00000X,Y
1568626000,HI,2011-07-28,individual,male,53,1,207P00000X,Y
1407010713,ID,2015-02-27,individual,male,47,1,207P00000X,Y
1225292220,ID,2012-07-24,individual,female,48,1,207V00000X,Y
1639334337,HI,2016-09-03,individual,male,60,1,207P00000X,Y
1093970790,HI,2011-05-20,individual,female,50,1,207P00000X,Y
1447415690,HI,2016-01-22,individual,male,62,1,207P00000X,Y
1215193263,ID,2016-11-10,individual,female,42,1,207V00000X,Y
1750547006,HI,2015-06-22,individual,female,48,1,207P00000X,Y
1720234180,HI,2014-03-18,individual,male,58,1,207P00000X,Y
1437305802,ID,2012-09-07,individual,female,39,1,207V00000X,Y
1740436062,HI,2015-04-28,individual,female,47,1,207V00000X,Y
1871740969,HI,2009-05-05,individual,female,56,1,207V00000X,Y
1881841583,HI,2016-06-22,individual,male,56,1,207V00000X,Y
1457508947,ID,2008-08-26,individual,male,52,1,207V00000X,Y
1629227277,HI,2013-04-25,individual,male,60,2,207P00000X,Y
1093966772,HI,2008-10-01,individual,male,57,1,207V00000X,Y
1699926220,HI,2015-10-27,individual,female,47,1,207P00000X,Y
1942451489,HI,2011-07-11,individual,male,64,1,207P00000X,Y
1609029826,ID,2016-11-04,individual,female,44,1,207V00000X,Y
1073766226,ID,2014-10-09,individual,male,55,1,207P00000X,Y
1780820670,HI,2008-12-23,individual,male,60,1,207V00000X,Y
1780822411,HI,2016-10-08,individual,male,58,1,207P00000X,Y
