NPI,provider_state,HealthcareProviderTaxonomyCode_1,HealthcareProviderTaxonomyCode_2,HealthcareProviderTaxonomyCode_3,HealthcareProviderTaxonomyCode_4,HealthcareProviderTaxonomyCode_5,HealthcareProviderTaxonomyCode_6,HealthcareProviderTaxonomyCode_7,HealthcareProviderTaxonomyCode_8,HealthcareProviderTaxonomyCode_9,HealthcareProviderTaxonomyCode_10,HealthcareProviderTaxonomyCode_11,HealthcareProviderTaxonomyCode_12,HealthcareProviderTaxonomyCode_13,HealthcareProviderTaxonomyCode_14,HealthcareProviderTaxonomyCode_15,HealthcareProviderPrimaryTaxonomySwitch_1,HealthcareProviderPrimaryTaxonomySwitch_2,HealthcareProviderPrimaryTaxonomySwitch_3,HealthcareProviderPrimaryTaxonomySwitch_4,HealthcareProviderPrimaryTaxonomySwitch_5,HealthcareProviderPrimaryTaxonomySwitch_6,HealthcareProviderPrimaryTaxonomySwitch_7,HealthcareProviderPrimaryTaxonomySwitch_8,HealthcareProviderPrimaryTaxonomySwitch_9,HealthcareProviderPrimaryTaxonomySwitch_10,HealthcareProviderPrimaryTaxonomySwitch_11,HealthcareProviderPrimaryTaxonomySwitch_12,HealthcareProviderPrimaryTaxonomySwitch_13,HealthcareProviderPrimaryTaxonomySwitch_14,HealthcareProviderPrimaryTaxonomySwitch_15,last_updated,entity_type,provider_gender,provider_age
1437151032,HI,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-08-13,individual,female,55
1528050630,HI,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,female,54
1285626341,HI,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-10-02,individual,female,53
1861485161,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-09,individual,male,59
1427041730,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-28,individual,male,55
1760475081,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-02-23,individual,male,52
1891788196,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-29,individual,male,45
1144213455,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-14,individual,male,52
1851384143,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-28,individual,male,49
1548253842,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-28,individual,male,45
1396738696,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-28,individual,male,48
1740273044,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-28,individual,male,52
1558354852,ID,207P00000X,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-07-01,individual,male,45
1134112444,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-29,individual,male,44
1629061940,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-28,individual,male,45
1114910296,ID,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,male,61
1689667651,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-02-23,individual,male,54
1336133776,ID,208000000X,2080P0202X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-06,individual,male,48
1780678813,HI,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,female,51
1770577728,ID,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,male,48
1508850397,ID,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-10-05,individual,male,49
1285628156,ID,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,male,53
1124012893,HI,208000000X,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-13,individual,female,52
1043204746,ID,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,male,45
1760476469,ID,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,male,45
1194719732,ID,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-29,individual,male,47
1255325882,ID,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-09-13,individual,male,51
1508850140,ID,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-03-04,individual,male,41
1982699435,ID,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-07-30,individual,male,48
1790770246,ID,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-12-06,individual,female,42
1396730594,HI,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-30,individual,female,56
1871588632,ID,208000000X,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-11-15,individual,male,57
1497740047,VT,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,male,38
1598750168,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,female,48
1174518708,VT,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,male,57
1861488413,ID,207P00000X,2083A0100X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-09-10,individual,male,50
1639165244,HI,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-11-22,individual,male,58
1013903640,HI,207P00000X,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-06-17,individual,male,54
1518953942,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,female,46
1326035908,HI,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,female,54
1316934698,HI,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-08-07,individual,female,46
1689661969,HI,207V00000X,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-09-03,organization,NA,NA
